react 반응하다
independent 독립적인
theory 이론
clue 단서
recall 상기하다
risk 위험
cancer 암
treatment 취료
specific 구체적인
engage 관여하다
motive 동기
import 수입하다
elder 연장자
depress 낙담시키다
fascinate 매혹하다
violent 난폭한 
alarm 경보
edge 가장자리
route 길
psychology 심리학
passion 열정
weed 잡초
conscience 양심
consider 고려하다
salary 봉급
pose 자세
purchase 구매하다
length 길이
occupy 차지하다
acquire 습득하다
poetry 시
lifetime 평생
decade 10년
grain 곡물
meaningful 의미있는
brief 간단한
severe 심한 
survival 생존
comment 논평
leap 뛰다
survey 설문조사
mechanic 기계공
mood 분위기
merely 단지
typical 전형적인
approve 찬성하다
rural 시골의
finance 재정
operation 작업
crime 범죄
awful 끔찍한
series 시리즈물
exhausted 고갈된
flu 독감
surround 둘러싸다
display 전시
policy 정책
mass 덩어리
committee 위원회
accurate 정확한
arrange 정리하다
consult 상담하다
refer 언급하다
recover 회복하다
facility 시설
downtown 도심
attach 붙이다
monster 괴물
enormous 엄청난
demestic 국내의
wealth 재산
elementary 초보의
reward 보수
gap 틈
except 제외하다
journey 여행
plain 명백한
previous 이전의
muscle 근육
leisure 여가
produce 생산하다
remain 남다
break 깨다
breed 낳다
slight 약간의
delay 연기하다
file 파일
ethic 윤리
instant 즉석의
reveal 드러내다
include 포함하다
urban 도시의
witness 증인
admit 인정하다
device 장치
suppose 가정하다
owe 빚지다
intend 의도하다
award 상
preserve 보존하다
underground 지하
consequence 결과
aspect 관점
target 목표
headache 두통
horizon 수평선
accomplish 이루다
surf 파도
adopt 채택하다
potential 잠재력
slip 미끄러지다
civilization 문명
row 열
atmosphere 대기
label 꼬리표
decorate 장식하다
identify 식별하다
secretary 비서
scale 규모
addict 중독시키다
evident 명백한
standard 기준
basis 기초
automatic 자동적인
region 지역
rise 오르다
aritificial 인공적인
possess 소유하다
substance 물질
realistic 현실적인
disappoint 실망시키다
differ 다르다
principle 원칙
memorize 기억하다
physics 물리학
evaluate 평가하다
fulfill 달성하다
stink 역겹다
tremendous 굉장한
application 적용
vote 투표
railroad 철도
cooperate 협력하다
emit 방출하다
request 요청
guarantee 보증하다
resist 저항하다
grant 승인하다
permanent 영구적인
emergency 비상
rid 제거하다
impact 영향
theme 주제
rely 의지하다

